unigram,frequency,percentage
सक्ने,48878,0.052070882364847734
क्षेत्रको,48659,0.05183757651686088
नगरपालिका,48653,0.05183118457582014
अर्को,48522,0.05169162719643074
किसान,48490,0.05165753684421348
रुपैयाँ,48342,0.05149986896520867
सरकारी,48282,0.051435949554801304
धान,48140,0.05128467361683722
सदस्य,48104,0.05124632197059281
भनेको,48093,0.05123460341201813
विषयमा,47987,0.05112167912029846
७,47910,0.051039649210275685
अनि,47899,0.051027930651701
सो,47628,0.0507392279813611
रकम,47374,0.05046863581063661
आउने,47163,0.05024385255070407
बजार,46770,0.04982518041253588
बेला,46748,0.0498017432953865
गाउँपालिका,46710,0.049761261002128514
थियो।,46687,0.04973675856147237
पछि,46564,0.04960572377013728
पटक,46458,0.04949279947841761
जाने,46223,0.04924244845432213
उपलब्ध,46048,0.049056016840634
केन्द्र,45965,0.048967594989570484
भइरहेको,45941,0.04894202722540754
त्यसैले,45932,0.048932439313846436
२०,45848,0.04884295213927613
महिला,45781,0.04877157546432125
पार्टी,44757,0.047680684193369
करिब,44621,0.047535800196445654
जस्तो,44224,0.0471128667642503
मूल्य,43786,0.04664625506827658
छौं,43483,0.046323462045719424
गत,43162,0.04598149320004006
भएपछि,43118,0.04593461896574133
मुख्य,43064,0.0458770914963747
एवं,43053,0.04586537293780002
विशेष,42752,0.04554471056225644
जग्गा,42343,0.045108993247979616
वितरण,42256,0.045016310102888944
दिए,42221,0.04497902378015132
अध्ययन,42127,0.04487888337051312
८,42091,0.044840531724268703
चार,42065,0.04481283331309219
जनाएको,42058,0.04480537604854466
यसले,42051,0.04479791878399714
कार्य,41965,0.04470630096241326
त्यसको,41863,0.04459763796472074
डा,41735,0.04446127655585172
मलाई,41727,0.0444527539677974
देखिन्छ,41677,0.044399487792457934
देश,41623,0.04434196032309132
भनाइ,41559,0.0442737796186568
यहाँ,41258,0.04395311724311322
उच्च,41234,0.04392754947895027
अर्ब,41000,0.04367826377836158
मल,40949,0.04362393227951532
आगामी,40858,0.0435269878403975
छु,40685,0.043342686873722946
जुन,40453,0.043095531820147824
आधारमा,40392,0.043030547086233675
लागेको,40388,0.04302628579220652
न,40308,0.04294105991166337
हरेक,39998,0.04261080962455869
बिक्री,39910,0.04251706115596123
लिएर,39748,0.04234447874786137
निकै,39633,0.042221966544580596
१२,39467,0.04204512284245357
प्रदान,38996,0.041543355470755806
सन्,38974,0.04151991835360644
त्यस्तै,38621,0.04114385915570982
जनताको,38507,0.04102241227593583
निजी,38462,0.04097447271813032
वर्षको,38261,0.040760342693265665
जिल्लामा,38205,0.040700684576885464
किन,38108,0.0405973481967269
युवा,37949,0.0404279617591474
वन,37923,0.04040026334797088
आफ्नै,37900,0.04037576090731473
नेता,37845,0.04031716811444131
ठाउँमा,37765,0.040231942233898164
क्रममा,37168,0.03959594410034495
अनुदान,36887,0.03929658819493716
देखिएको,36719,0.03911761384579655
कोरोना,36719,0.03911761384579655
जोड,36569,0.038957815319778155
वृद्धि,36376,0.03875220788296782
यही,36204,0.03856897223980006
सबैभन्दा,35859,0.038201435629957745
परिवर्तन,35743,0.03807785810317019
लामो,35543,0.03786479340181233
ऋण,35536,0.0378573361372648
बैंक,35244,0.03754626167328232
यस्तै,35217,0.037517497938599015
त्यही,35206,0.03750577938002433
व्यापार,35092,0.03738433250025035
जस्ता,35060,0.03735024214803309
बजारमा,34957,0.03724051382683379
२५,34931,0.03721281541565727
जारी,34884,0.03716274521083817
वातावरण,34854,0.0371307855056345
बढेको,34775,0.037046624948598145
कति,34700,0.036966725685588946
अझै,34664,0.03692837403934453
ध्यान,34663,0.03692730871583774
पुगेको,34584,0.03684314815880138
सक्छ,34430,0.03667908833875583
बनेको,34426,0.03667482704472867
९,34259,0.036496918019094854
संरक्षण,34139,0.03636907919828014
सफल,33897,0.03611127090963713
पूरा,33859,0.036070788616379135
पूर्वाधार,33747,0.03595147238361873
छलफल,33746,0.03595040706011194
लिन,33727,0.03593016591348295
कार्यान्वयन,33722,0.035924839295949
ले,33679,0.03587903038515706
विषय,33668,0.03586731182658238
नभएको,33550,0.03574160365278124
सकिने,33465,0.03565105115470415
